lim_attack,lim_normal,reject_rate,error_rate,fpr,fnr
0.5,1.0,0.13677465521727816,0.04946036254481628,0.04799676760802994,0.05092395748160262
0.52,0.5,0.004205234006170774,0.11335016995407486,0.037191317667276874,0.18950902224087285
0.52,0.52,0.009627894873796514,0.10956460624004068,0.03724941768552212,0.18187979479455924
0.52,0.54,0.010208728300063195,0.10913112497484806,0.03725359952848282,0.1810086504212133
0.52,0.56,0.01118452845619122,0.10855791435676601,0.037274173921183186,0.17984165479234884
0.52,0.58,0.011584141853462697,0.10829369522346802,0.037280106354095476,0.17930728409284055
0.52,0.6,0.014228095609828632,0.10652664777012313,0.03731853837286674,0.17573475716737952
0.52,0.62,0.016091409241292147,0.10542998997180504,0.037359152617110904,0.17350082732649919
0.52,0.64,0.01711832273893164,0.10474919420033585,0.03737528275499573,0.17212310564567596
0.52,0.66,0.021960150180290697,0.10418654770949713,0.037679788039364115,0.17069330737963015
0.52,0.68,0.025268577376305713,0.10179803671633154,0.03771797713430517,0.16587809629835792
0.52,0.7,0.03427846548455448,0.09422764625014017,0.03774586473292573,0.1507094277673546
0.52,0.72,0.03462231887290435,0.09397670052808901,0.037750516675830945,0.1502028843803471
0.52,0.74,0.04161090665774506,0.08940753851972123,0.03789385533340312,0.14092122170603935
0.52,0.76,0.044031820378424597,0.08748784588778324,0.03791839261057944,0.13705729916498705
0.52,0.78,0.04626222073528865,0.08566036402627726,0.03793753929993712,0.1333831887526174
0.52,0.8,0.04638768075536225,0.08558420670823239,0.03794079254523453,0.13322762087123025
0.52,0.82,0.061535816512397305,0.07431922458685379,0.0381926127698756,0.11044583640383199
0.52,0.84,0.06238615664845173,0.07380755707633233,0.038217538606240345,0.10939757554642429
0.52,0.86,0.06438887030221925,0.07251577757880287,0.038270062469966365,0.10676149268763939
0.52,0.88,0.06479777703431099,0.07222145370320746,0.03827852384477107,0.10616438356164383
0.52,0.9,0.0832311066503104,0.058681017624581056,0.03867521367521368,0.07868682157394843
0.52,0.92,0.08408609345377495,0.05795885347171832,0.03868836531454943,0.07722934162888721
0.52,0.94,0.09125590126761086,0.056362220101420564,0.039134365909269594,0.07359007429357153
0.52,0.96,0.10129270287349913,0.05005193269754421,0.03947029320222826,0.060633572192860155
0.52,0.98,0.10326288985539571,0.049670732107180184,0.039602187966185975,0.05973927624817439
0.52,1.0,0.13990186238429797,0.04679165360261224,0.04258094871465845,0.05100235849056604
0.54,0.5,0.015835842533734806,0.11482230872072749,0.03587662034006098,0.193767997101394
0.54,0.52,0.021258503401360544,0.11096970242891717,0.03593274319703995,0.18600666166079438
0.54,0.54,0.021839336827627225,0.11052850316099225,0.03593678273985179,0.1851202235821327
0.54,0.56,0.02281513698375525,0.10994466511705601,0.03595665704323048,0.18393267319088155
0.54,0.58,0.023214750381026727,0.10967562618116783,0.03596238761753869,0.18338886474479696
0.54,0.6,0.025858704137392663,0.10787616986716914,0.035999511998273226,0.17975282773606505
0.54,0.62,0.027722017768856175,0.1067587813840998,0.03603874446876673,0.17747881829943288
0.54,0.64,0.028748931266495668,0.10606528192577525,0.03605432586117769,0.1760762379903728
0.54,0.66,0.033590758707854725,0.10548450173055404,0.03634847537286562,0.17462052808824247
0.54,0.68,0.036899185903869744,0.10305128481697343,0.036385366177544655,0.1697172034564022
0.54,0.7,0.04590907401211851,0.09533735043381028,0.036412305764648926,0.15426239510297163
0.54,0.72,0.04625292740046839,0.09508143567677649,0.03641679957469431,0.15374607177885866
0.54,0.74,0.0532415151853091,0.09041895068460357,0.03655526649322927,0.14428263487597787
0.54,0.76,0.055662428905988624,0.08846028611516873,0.03657896995298897,0.14034160227734852
0.54,0.78,0.057892829262852684,0.08659542565466258,0.036597466035719735,0.13659338527360543
0.54,0.8,0.05801828928292629,0.08651763572781462,0.03660060873796597,0.13643466271766327
0.54,0.82,0.07316642503996133,0.07500997885535093,0.03684387456178265,0.11317608314891921
0.54,0.84,0.07401676517601576,0.07448656431831469,0.036867953905446574,0.1121051747311828
0.54,0.86,0.07601947882978329,0.07316527900738323,0.03691869417924238,0.10941186383552409
0.54,0.88,0.07642838556187502,0.07286430259631888,0.0369268682434709,0.10880173694916684
0.54,0.9,0.09486171517787442,0.059006648974145814,0.03731009395607602,0.08070320399221562
0.54,0.92,0.09571670198133898,0.058267193016005706,0.03732279940454762,0.07921158662746379
0.54,0.94,0.1028865097951749,0.05662011373097023,0.03775367596401787,0.07548655149792259
0.54,0.96,0.11292331140106315,0.05014839789620425,0.03807822116339091,0.06221857462901759
